Text,Actual,Predicted
"মিরের ফুডকা চ্যানেল থেকে ঘুরে আসতে পারেন । লাস্ট দুইটা এপিসোডে ওরা বাঙ্গালী খাবার নিয়ে কিছু রেস্টুরেন্ট কাভার করেছে । সেই রেস্টুরেন্ট গুলাতে আপনি গেলে দারুন হবে । আপনি কমফোর্ট ফিল করবেন , এইভাবে আস্তে আস্তে কথা বলতে হয় যেসব রেস্টুরেন্টে সেখানকার ভিডিও দেখতে ভালো লাগে না ",1,2
এগুলা গরীবের খাবার না । ধনীদের খাবার,2,1
"যেটাকে বললেন যে এত কম দামে কি ভাবে দিচ্ছে এত আইটেম , সেটাকে একনিমিক্স এর ভাষায় ইকোনমি অফ স্কেল বলে ",1,2
বস্তিমার্কা নান্না বিড়িয়ানি এর চাইতে আলুর ভর্তা ডাল এর টেস্ট অনেক ভালো,0,1
"আগামী বছর লটারি বিক্রি করতে আসলে সবাই মিলে ওদের গণধোলাই দিবেন , তাহলেই বাটপার রা ঠিকমতো টাকা পরিশোধ করবে ",0,2
আমি চাই জুমুনা টিভি মাধ্যমে ফিরেয়ে দেয়ার হোক,0,1
ঐটা ইয়েলো ক্যাপসিকাম । কুমড়া না,0,1
"মুরগির খোয়ারে মুরগি , শিয়াল বাজাস ঢোল , গিরোসতের কান আছে খাড়া কি করবি আজ বোল মুরগী ★টাকা শিয়াল★পুলিশ গিরোসতো★আসামী ",0,1
এমন কথাটা শোনে কলিজা জোড়ে গেল,1,0
এই ঘটনার উপযুক্ত বিচার যদি না হয় তাহলে অবশ্যই আমাদের ভবিষ্যতে এ ধরনের ঘটনা দেখার অভ্যাস গড়ে তুলতে হবে,2,1
এতো করুণ অবস্থা দেখে চোখের পানি ধরে রাখতে পারলাম না উপর আল্লাহ অশেষ মেহেরবানী,1,2
"হুঁ । নিঃসন্দেহে , সেরা সি ফুড আ্যরেন্জমেন্ট ! জায়গাটাও দারুন সুন্দর ",1,2
শালা আপদ ঝাল তোর সত্যি লাগছে নাকি সবটাই অ্যাক্টিং করছিস । আর শোন পরেরবার থেকে না মুখটা একটু ভালো করে মুছিস নোংরা লাগে দেখলে পরে,2,1
ভাইয়া অপনে একা ভিত্তি ও ভাল লাগে,0,1
আমার পেটের নিজ থেকে পায়ের তালা পর্যন্ত স্টাম দিয়ে পিটিয়ে তারা স্টাম ভেঙে ফেলে ,2,0
খাওয়ার গুলির রেটিং দিলে খুব ভালো হতো,1,0
শুধু ধরে নিয়ে জেলে আটকে রাখলেই কি এই সব অনৈতিক কাজ বন্ধ হয়ে যাবে,0,2
বড় হোও বাবা রানা তুমি দোয়া করি ,1,2
ভাই অনাকে টাকা দিবে কেন উনিত গরিব না । যারা সরকারে আছে তারা নিবে,0,2
ভাই হাতির চাদাবাজি দুই জনকে মানে দুই হাতিকে দরলো,1,2
আসলে এখান থেকে অনেকেই অপমান বোধ করে ছেলে মেয়ের সামনে স্ত্রীর সামনে ফ্রেন্ডের সামনে উত্তর না দিতে পারলে একটা লজ্জার ব্যাপার,0,2
"এই জন্যই মহিলারা কাজে গিয়ে খারাপ হচ্ছে , সংসার টিকে থাকছে না ",2,1
না । ভুটানের বর্ডারে গেলেই ইন্সট্যান্ট ভিসা পেয়ে যাবেন । তবে আপনি যদি বাংলাদেশি হন তাহলে ইন্ডিয়ার ট্রান্সজিট ভিসা না থাকলে ভুটান যাওয়া যাবে না ( যদি বাই রোডে যান ),1,2
"দাদা আপনি এতো খান , যা দেইখাই পরানের ভিতর হুটোপুটি , ছোটাছুটি লাইগ্গাযায় , বড়োই আফসোস হয় , যদি আপনার লগে যাওন যাইতো , তাহলে কিনা হইতো ",1,2
"নিজের যদি প্রাইভেট কার থাকে , তাহলে বাঘাইহাট থেকে সাজেক যেতে পারবো ",1,0
ভাইয়া এই রেস্টুরেন্টা কোথায় ,0,1
স্বস্তায় দেশী আলু পাইলে বিদেশি আলু কি জন্য খাবে পাব্লিক,0,1
আমাদের জনগনের টাকায় বেতন নিয়া আমাদের এবং দেশটাকে কিভাবে ধংস করে । আহহহ । কিছু বলার নাই । ইনারা নাকি সফৎ নেয় কি নেয় আর কি করে । আল্লাহ আমাদের সাধারণ নিরঅপরাধ মানুষকে হেফাযত করুন,0,2
"বর্তমান ইরানের প্রযুক্তি বেশ জোরেশোরে এগিয়ে যাচ্ছে , তাই সকল দেশের চিন্তা ভাবনা করে ইরানের সাথে টক্কর দেওয়া উচিত ",1,2
এই রকম বিস্বাদ রান্না জীবনে প্রথম খাওয়া হলো,2,1
দেশ টার ভিতরে চোর আর বাটপারে বরে গেলো,1,2
আমাদের দেশে আসলে ৮৬ লাখ ৪ কোটিতে এসে দাঁড়াবে,2,0
আজ থেকে ৯বসর আগেই এই ছেলের সাথে দেখা করেছি,0,2
"বাংলাদেশের রেস্টুরেন্টের ভিডিও দেখতে আগ্রহী , কারণ বাংলাদেশ কখনই যাওয়া হয়নি ",1,2
"আদর করে খাওয়া তো শিখলাম , এইবার ধমকাইয়া , পিটাইয়া কেমনে খাইতে হয় সেইটা শিখান ",2,1
"দাদা , আর কতো খাবেন ? আমরা দেশী ভাই , খাওয়ার সময় আমরা নাই ? এতো দাম কেন ",0,2
"যায় , তবে বর্ডার থেকে না । একটু এগিয়ে গিয়ে বাস পাবেন ",0,1
বাদশা ভাই এর জীবন কাহিনীর মত,1,2
ভাইয়া এটা ত গুনে চলে না চলে ত দিদির নামে তাই এত দাম,2,1
২৭ বার বার্বিকিউ নেশন এ গেছি,1,0
সম্রারের পেছনের লোককে ধরতে হবে,0,2
গরু নাহ রে ভাই মহিষের তেহারী,0,2
বানিজ্য মেলার বিভিন্ন খাবার নিয়ে একটা পর্ব হতে পারে :,0,1
"এটা বলা খুব কঠিন : ) তবে 400 , 1 / 125 , 7 । 1 দিয়ে ট্রাই করে দেখতে পারেন ",0,1
"খাওয়ার পর ভালো মন্দ লাগার কোনো মন্তব্য করলেন না উনি , মনে হয় সচেতন ভাবেই ",1,0
"কিছু করার ছিল না , সবাই ভোজন রসিক ",0,2
টিকিটের নামে এসব ধান্দাবাজী দেশে বন্ধ করা উচিৎ,0,2
আমার ও ভাই তোমার মোতো ঽয়ে ছে ,2,1
আমরা দর্শন সামিয়ার খুলি কে দেখতে চাই,2,1
"এগুলা বাদ দিয়ে নাটোর আসেন , গরুর গোস্ত আর মেহমান দাড়ি গুলা দেখবেন হোটেল গুলার , বাসার কাছের গুলায় গিয়ে লাভ নেই ",1,2
আপনি ঢাকা জেলার মানিকগঞ্জ এর মহাদেবপুর গ্রাম একবার দেখবেন,0,1
বিচার হবে কি ? বিচার হলে কি হবে যদি কঠিন আইনের শাসন প্রয়োগ না করা হয় ?,0,2
"ভাইজান সিলেট আসলেন , আর শাহাজালাল বিশ্ববিদ্যালয়ের ফুছকা-চটপটি ট্রাই করলেননা , মিছ করলেন । মনে অনেক কিছুই মিসই করবেন ",2,1
আপনার মত সাংবাদিক ভাইরা থাকতে এইসব ফুলিস থাকবে না এরা অচিরে হারিয়ে যাবে আবদুল্লাহ তুহিন ভাই একজন খাটি মানুষ খাটি সাংবাদিক,1,2
আর এত খেয়ে একটু পান খাবেন না ? লাভলেন বা লালখান বাজারে গিয়ে একটা ২০ অথবা ৩০ টাকা দামের পান ঢুকিয়ে দিবেন,1,0
এই গুলা বাটপার অমানুসের বাচ্চা দের জুতা দিয়া পিটাইয়া মেরে ফেলুক জনগন,0,2
চোরের দেশে আবার লটারিরি টাকা বিশ্বাস করতে কষ্ট হচ্ছে,0,2
ছাত্রলীগ কুত্তালীগ । ছাত্রলীগ জানোয়ারলীগ । ছাত্রলীগ বদমাইশলীগ,0,2
"উন্নয়ন এর জোয়ার এ ভাসছে নেতা কমি , সাবাস বাংলাদেশ ",0,2
ন থাক আপনে যান আমার এক্সাম আসে ,0,1
আমরা ৩০০ থেকে ৫০০ টাকা চাইনিজ খেয়ে ভাল বলি আর ৩০ টাকায় গরিবের পরিশ্রমের এই খাবার খারাপ বলার কোন ভাষাই নাই,1,2
"নারে ভাই ফলস না , আপনি একদিন খেয়েই দেখেন ",0,1
আমার জীবনে খাওয়া সেরা বাজে বিরিয়ানি এটি :,2,0
কঠোর হস্তে দমন করা হোক এটি জাতির প্রত্যাশা । তবে এই দিকে প্রতিবাদী মরহুমা বোন নুসরাত এর বিচার কি আর হবে না,0,2
"আপনি বাঙালি বললে লোকে হাসবে ! আপনি কাসুন্দি জানেন না , আপনি ডালনা কি জানেন না ? ",2,1
কিন্তু আপনারা লেট করে বলছেন ,0,2
"প্রতিটা মাংসের টুকরো ১০ গ্রাম করে , ৫ টা মাংসে হয় ৫০ গ্রাম । যার মূল্য আসে ২৮ টাকা ৫৫০ টাকা দরে । সাথে ভাত বা খিচুড়ি বা পোলাও দেয় ১৫ টাকার । তাহলে সর্বমোট আসে ৪৩ টাকার মত । যদি আমি ৫০ টাকাও ধরি তবে উনার আরো ১০ টাকা লাভ থাকে ",0,2
বর্তমানে কোনো বিয়েতে সিংহভাগ খরচ হয় খাওয়াতে । একটি বিয়েতে বর পক্ষের আগের মতো কোনো চাওয়া বা দাবি থাকে না । দুইপক্ষ‌ই চায় ভালো করে যেন আপ‍্যায়নটা করে দেয় উভয় পক্ষ ,0,1
৭ : ০০ ভাই আলু ভর্তা নাকের মধ্যে নিয়ে দেখার মানেটা বুঝলাম না । এটা তো খাবার । যেকোন খাবার ই এভাবে সুকে দেখা ঠিক না । আমার অপিনিয়ন,2,0
রাব্বানী হোটেলে নাস্তার রিভিউ দেয়া হইছে,0,2
পেট ভোরে খাওয়ার পর ও আপনার ভিডিও দেখলে আবার খিদে পেয়ে যায়,1,2
"ফাহিম ভাই , দয়া করে চেহারার দিকে একটু নজর দিন ",1,2
খুলে দে ভাই সবাই লুটে পুটে খাওয়া মাগীদের দেখুক,2,1
ভাই ঘাইমা যাইতেছেন । এসি নাই ? তাহলে তো ১৬ আনাই বৃথা,2,1
"দেখেই ত খাইতে মন চায় কিন্তু দাম কম , তাই খাদ্যের মান নিয়ে একটু চিন্তিত ",0,1
আহারে নওশিন আপু না খেয়ে একদম শুকিয়ে গেছে,0,1
ওতদিন ধরি সাবসক্রাইব করছি একটা দিন দাওয়াত দিলায়না রেবা,0,2
পাপন তো দেখছি দোগলা ব্যক্তি । যেন দোমুখো সাপ । একমুখে রাম নাম আরেক মুখে রাজ্যের গালি । লোকটার প্রতি শ্রদ্ধা হারিয়ে ফেললাম,2,1
পাশের ফ্রেন্ডটা কি ছেলে না মেয়ে,2,1
হায়্য রে বাংলাদেশ কুত্তার বাইচ্চা তর খারনে দেশের এই অবস্তা,0,2
রিয়াদ বাতা মাকেট বাংগালী আসুন,0,1
ডিসলাইক দিয়েছে সেই সকল ভেড়া,2,0
আল্লাহ সব পাপিদের একদিন শাস্তি দিবেন,0,1
মাইক্রোফোনের শক্তি বেড়ে গিয়েছে ইদানিং । শ্বাস নেবার শব্দও পারলে শুনিয়ে দেয়,1,2
আপনাদের সবাইকে অনেক বেশি আদিখিল্লাহ মনে হইছে ,2,1
ভাই আপনার ভিডিও দেখলে ভালো লাগে আজকের ভিডিও এর রিভিউ ভালো কিন্ত এসব সস্তা দোকানের খাবারের ভিডিও না করাই ভালো,0,2
"এখানে সবাই বাঙালি , তাই এভাবে লিখলে কেউই বুঝবে না ",0,2
"এইটা না হয় হলো ! কিন্তু , যেখানে সরাসরি সারচ দিয়ে পর্ণ দেখা যাচ্ছে , সেখানে পৃথিবীর শিশুদের মানসিক স্বাস্থ্য এর কথা কে ভাববে ",1,2
আজকের ভিডিও টা সেইরকম এর হইসে,1,2
ওমর ফারুক কে জরুরী গ্রেফতার করা হুক সালাই আসল মাদার চুদ,2,0
"এইটা না হয় হলো ! কিন্তু , যেখানে সরাসরি সারচ দিয়ে পর্ণ দেখা যাচ্ছে , সেখানে পৃথিবীর শিশুদের মানসিক স্বাস্থ্য এর কথা কে ভাববে ",1,2
১২০ টাকায় ৬ টা মাংসের টুকরো,1,2
এই সব প্রতারকরা প্রতি বছর সরল প্রাণ দরিদ্র মানুষের কাছ থেকে কোটি কোটি টাকা হাতিয়ে নিচ্ছে আর দেবারবেলায় টালবাহানা । সরকারের এদিকে নজর দিতে অনুরোধ করছি । সমস্ত প্রকার লটারি বাংলাদেশে বন্ধ করা হোক,0,2
"সাবাস , এই চুক্তি বাতিল করতে ছাত্রসমাজ প্রস্তুত । ❤ ",0,2
ভাই চোরে তো চোর কে সাপট করবে সেটা তো সাভাবিক ,2,1
খাওয়ার সাউন্ড থম থম আওয়াজ,1,2
ঠোটের কালাটা ভালো লাগলো না,2,1
তার মানে টেন্ডুলকারের থেকেও বড়,1,2
কুমির মানুষ খেতে পারলে মানুষ ও কুমোইর খাইতে পারবে,0,2
খাবার মজা না ভাই আমরা খেয়েছি কিছুদিন আগে,2,1
"মাছটা আপনারা দুজন শেয়ার করে খাবেন , মাংসটাও আপনারা দুজন শেয়ার করে খাবেন । ক্যামেরাম্যান কি খাবে ? আপনি কোথাও ক্যামেরাম্যানের উল্লেখ করেন না কেন ? ওনার সাথে পরিচয় করান না কেন ? ",0,1
অনেকেই ক্যাম্পে বোবা খেতে গিয়ে বাবা নিয়ে ফিরে গেছেন,2,1
ভাইয়া আপনি চুলে কালার করেন । পাকা চুল উঁকি দিচ্ছে,2,1
ছাএরা চাইলে সব কিছুই পারে । এটাই তারই প্রমাণ ,1,2
দেশি মুরগির মাংস নরম হবে কেনো,0,2
এলিফেনট রোড মামুন বিরিয়ানিটার রিভিউ করা যায় কম দামে বেস্ট কাচিচ ,1,2
কুকুরের বাচ্চাগুলার অন্তরে একটুও মায়াদয়া কি ছিলো না ?,2,1
আদি শুক্রাবাদ হোটেলে যেতে পারেন ভাই । উনাদের চিকেন গ্রিল আর বুন্দিয়া টা খুব ভালো,1,0
ভাইয়া আমি উত্তরায় থাকি আমি ছিনুক খাব কোথায় পাব উত্তরার কোন রেস্টুরেন্টে,1,0
"খ্যাত ! বাঙালির ছেলে । ডালনা কি জিনিস্ , কলাপাতায় খাওয়া কি জিনিস জানে না ",2,1
* আশাকরি যমুনা টিভির সহায়তায় সেই লোকটা টাকা পাবে কিসের সময় পার হয়ে গেছে এটা তো কোন সময় নির্ধারণ করা নাই ! *,0,1
"ভাই , আমি আগে কখনো যাইনি । এই জন্যই জানতে চাইছিলাম যে , ইমিগ্রেশনের সময় কি ডক্টর এ্যাপয়েনমেন্ট লেটার দেখতে চায় কিনা । কারণ যেহেতু এটা মেডিকেল ভিসা , তাই ",1,2
"কেন , ক্যামেরাম্যান খায় ! তাছাড়া সাথে আরও লোকও থাকতে পারে যাদের দেখানো হচ্ছে না ",0,2
সরকার হঠাৎ করে এমন কিছু কাজ করতেছে চমকে উটার মত । আমাদের আইন শৃঙ্খলা বাহিনী কি আগে জানত না মনে করেন ? পুলিশ টিকই জানত তাদের মাস শেষে মাসোয়ারা দেওয়া হত তাই তারা নিরব,1,2
ভাই দয়া করে প্রত্যেক 6 মাস পরপর চেক করা দরকার তখন ওরা 2 3 বছর মেয়াদ উত্তীর্ণ ঔষধ রাখতে পারবেনা,2,1
আপনি সত্যি কথায় লেখেছেন । তাই আনেকের সত্যি হজম হবেনা ,0,1
"ভাই আপনি সবাইকে দেখিয়ে দেখিয়ে খাবার খান , আপনার কি নজর লাগেনা বা পেট এ অসুখ হয় নি ",0,1
সম্পুর্ণ কৃতিত্ব টা আসলে সিকিউরিটি গার্ডের সে না ধরতে পারলে হয়ত এত কাহিনী হত না ,1,2
পাপন ও জড়িত আছে । ওই সালাকে গ্রেপ্তার করা হউক ,1,2
"এই রানা কে "" ক্ষণিকের ভাইরাল "" হতে দেওয়া যাবে না ",1,2
ক্যামেরাম্যানকে আরো কেয়ারফুল হতে হবে,1,2
ভাই দক্ষ ক্যামেরাম্যান হইলো ভাবি,1,0
"ইরানের উত্থান ইসরায়েলের জন্য সব চেয়ে বড় হুমকি , সাথে সাথে সুন্নী মুসলিমদের জন্যও হুমকি হবে , ওখানে ইরান আরবের মধ্যে অনারব দেশ , জাতিগত সমস্যাতো আছেই ",0,2
অবশ্যই । আওয়ামী লীগ মানেই খারাপ । ভারতের এজেন্ট,2,1
1 : 12 এই লোকটার মতো যদি আমিও ওর পাসায় একটা লাত্থি দিতে পারতাম আমার কইলজা টা ঠান্ডা হইতো,0,1
"ভাই এসব লটারীর ধান্দা বন্ধ করা দরকার সরকার ও জনগন একসাথে মিলে , এসো সবাই ঐক্য বদ্ধ হই ",1,2
"ভাই , আপনার ভ্লগ চ্যানেলে বিভিন্ন বিষয়ে ভিডিও আপলোড করতে পারেন । যেমনঃ শপিং , ফ্যাশান সচেতনতা , ফর্মালি কথা বলার ধরণ , থিয়েটারের বেসিক আর্ট , যেসব জায়গায় ট্যুরে যান , সে জায়গাগুলোর ইতিহাস ইত্যাদি ",1,2
পাচ ভাইতে খাইছেন টা কি ? ৭ জন খাইলে ৩০০০ টাকার বেশি বিল কখনোই আসা সম্ভব না । আর আপনি খাইছেন ৫০০০ টাকার খাবার,1,2
"মাসের শেষ , পকেটে টাকা না থাকলে কিভাবে বাজার করবে ? ",0,2
তাওমিদ ভাই অাপনার জন্য ভয় হয় । ইমরুল কায়েসকে নিয়ে রির্পোট করায় সময় টিভির সাংবাদিককে হেনস্তা করছে বিসিবি । অার অাপনি অাজকে লোকমানের বিরুদ্ধে রির্পোট করছেন অাপনার সাথে অাবার কি ধরনের অাচরন করে তা চিন্তার বিষয়,1,2
কিবাভে বুঝলেন জেলে গিয়ে আরাম আয়েসে থাকবেন তিনি,0,2
ভাই আপনি দিনে দিনে এতো সুকিয়ে যাচছেন কেন,1,2
সবাই বলছে বাংলাদেশী হয়ে লজ্জা লাগছে কিন্তু বাংলাদেশী নয় এই দেশের পরিচালনার দায়িত্ব যার হাতে তার জন্য এই দেশটা লজ্জিত,0,2
* ডাব সরবতের রেসিপি আচার্য প্রফুল্ল চন্দ্র রায়ের মস্তিষ্কপ্রসূত । *,0,2
"ঝাল কমানোর জন্য , সবাই সমান ঝাল খেতে পারেনা ",1,2
বড় হোও বাবা রানা তুমি দোয়া করি,1,2
এখন আমি যদি বাই রোডএ যাই তাহলে কি আমার ইন্ডিয়ান ভিসাতে কোন সমস্যা হতে পারে,1,0
"৬০ টাকা দিয়া এতো কিছ , দারুন ",1,2
কবে যে উপর দিয়া হাঁটবার পারমু । মুখে দাঁত থাকব রে আবুল ? সোজা কইরা না খাইয়া বাই হাত দিয়া ঘুরাইয়া ভাত খাওনের কি জ্বালা !,2,1
ভাই ঘুঘু পাখির খামার আছে,0,1
নাটক করলে যে টাকা ইনকাম করে ইউটিউবে এখন এর চেয়ে বেশী ইনকাম করা কোন ব্যাপারই না,1,2
"ভাই এতো খাবার গুলো কি বিক্রি হয় ? নাকি খাবার গুলো বাসি হয় , ? এতো আইটেম দেখে মাথা ঘুরছে । টেষ্ট কেমন ",1,2
"ডাকাতের ঘরের ডাকাত আমেরিকায় এইরকম একটা রুটির দাম বাংলাদেশের 15 টাকা , আর তোমরা বাংলাদেশে ভেজাল তেলের বানানো এক পিছ রুটি 20টাকা , কেউ এই ডাকাতের রেস্টুরেন্টে খেতে যাবেননা ",2,1
ভাত চটকানোর আওয়াজটা পর্যন্ত ভিডিওতে শোনা যায় ! হা হা হা । : :,1,2
"আপনাদের পরামর্শ নিয়ে এগিয়ে যেতে চাই , এই ছেলেটাকে নিয়ে কিছু একটা করতে চাচ্ছি ",1,2
আপনাকে কয়েকবছর আগে একরকম দেখেছি,1,0
"10 । আল্লাহর মনোনিত দ্বীন , ইসলাম থেকে মুখ ফিরিয়ে নেওয়া । ইসলাম অনুসারে আমল এবং শিক্ষা গ্রহণ করতে নারাজ হওয়া । দলীল : - ( সূরা সাজদাহ - 22 / কাহফ - 57 / ত্বা - হা - 124 - 126 / মুমিনূন - 71 ) ",0,1
যাবে না এবং দ্বিতীয় ইনিংসে ব্যাটিং করলেও বড় স্কোর তারা করার মেন্টালিটি,0,1
কেমন কথা ঠিকানা নাই । বটতলা । হায়রে বোধ,1,2
"দেশ পরিস্কার করতে পুলিশের 24 ঘন্টাই যথেষ্ট , শুধু এটাই বললাম ",1,0
"এত লোভ দেখাচ্ছেন আপনি ! । সে যাই হোক , অবাক লাগছে থেকে আ্যাত্ত আ্যাত্ত পদ আপনি সাবার করবেন কেমন করে ! ",0,1
সন্তান কে কি পরিমান ভালোবাসলে একটা মা বলেন যা হইসে হইসে অন্তত বাচিয়ে রাখতো মেয়েটাকে,2,0
আশরাফুল তো আর পাপনের খাতিরের মানুষ বা দলীয় লোক না যে আশরাফুল কে ছাড় দিয়ে কথা বলবে পাপন,1,2
আপনি হাইকোর্ট রিট করেন আশা করি ফলাফল পাবেন,0,1
সৌরভ গাঙ্গুলীকে অনেক ভালো লাগে । তিনি ইন্ডিয়ার ১ নাম্বার ভদ্র প্লেয়ার । ভিরাট কোহলির মতো বিরাট বেয়াদব নয়,1,2
একদম না । এখানে সব হারাম খাবার খাওয়ানো হয় । হারাম হালাল যদি বিচার না করেন তো আসেন । কিন্তু এসে পরিবেশ নোংরা করবেন না,0,1
এই খাবার সাহরি তে মানায় না । আমি ও প্রচুর খাইছি পুরোনো ঢাকায় । এখানকার অলি গলি অনেক খাবারের দোকান আমি জানি,0,1
এই সামিই কি রেডিও ভূমিতে খেলার কাভার করেন কি ? স্বর তো একই লাগছে,0,1
বিকৃতির নতুন নাম র‍্যপ সং,2,1
চেন্নাই ভেল্লোরের খাবারের রিভিউ দিন । ভেল্লোরে বাঙালী খাবার পাওয়া যায় কি না,0,1
আমার মতে ঢাকায় এ রকম 10 টি আবাসিক হোটেলের লাইসেন্স দেওয়া হোক যাতে করে আর আমাদের মা বোন শিশু দের ওপর ধর্ষণ করা অনেকটা কমে আসবে তাই এই বিষয় সরকারের ভাবা দরকার পুলিশ তো এমনিতেই গোপনে মাসুরা নিয়ে এবেল এবেল চালিয়ে যাচ্ছে এই ব্যবসা,1,2
বুদ্ধিমান চোর চোখ পলানতির মতো কুক বললেই বলতে হবেকোথায় নাহলে ফেল টাকা দেয়া সময় লুকিয়ে থেকে পরেবলে সময় পেরিয়েগেছে এদের জালিয়াতি জন্য হাজারো মানুষ পথেবসচে,0,2
"দাশ কেবিনের খাবার গুলো খুব উপদেয় মনে হলো । দাম খুব ভালো । আমরা সাত বছর আগে গড়িয়া হাটা , কলকাতা গিয়েছিলাম । তখন দাশ কেবিনের খবর জানা ছিল না । মিস করেছি ",1,2
হুম এটাই বাংলাদেশ । সব ই সম্পর্ব । পৃথীবি ধ্বংস হয়ে যাবে বাংলাদেশ কখনো ঠিক হবে না,0,2
এই দোকানে আমি চটপটি খেয়েছি ভাল না,2,1
যমুনা টেলিভিশন কে কি বলে ধন্যবাদ দেবো ভাষা খুঁজে নেই আমার তবে হাতির দুটোকে যদি স্বামী - স্ত্রী জোর দিয়ে রাখা যায় তাহলে হয়তো আমরা আরো অনেক হাতি দেখতে পারবো ইনশাআল্লাহ,0,1
এখন প্রধানমন্ত্রী কাছে নিয়ে কেন বলে না যে আমি তোমার পাশে আছি । শুধু নিজের বেলায় ষোলআনা । পরে বেলায় একআনাও না,2,0
আমি করিনি । ইউটিউব বিশেষ কারণে মাঝে মাঝে কিছু কিছু ভিডিওতে কিছু সময়ের জন্য কমেন্ট অপশনটা বন্ধ করে রাখছে,0,1
"তারপর শুধু সাজেক যাচ্ছেন তা না , ওইখান এ গিয়ে আপনি যেইখানে যেতে চাইবেন ওইখানেই নিয়ে যাবে ",1,2
"মানুষ কত কিছুই তো বলে , শুনা কথায় কান দিবেন না ",0,2
লিটারি মানেই হলো ধান্দাবাজি আর বাটপারি,0,2
আসুন আমরা সবাই পাঁচ ওয়াক্ত নামাজ পড়ি আল্লাহ ও নবির প্রতি ঈমান আনি ।,0,1
"ধর্ষকের শাস্তি জনসম্মুখে মৃত্যুদন্ড তিন চারটা দিলে ধর্ষনতো দুরের কথা , কোন মায়ের দিকে চোখ তুলে তাকানোর সাহস পাবে না ",0,2
বাইয়া মোনাইল নাম্বার দিয়ে দিলে ভালো হতো তাহলে জাইতাম,1,2
"কেন ? অাজ কেন ? অাপনারা কি দেখেন নাই ? সেই ভিডিও , তাহসিনেশনের সেই ভিডিও , কিভাবে অত্যাচার , গালাগালি করছিল ! কি রকম হতে পারে নির্যাতন , দেখে অাসেন ঐ ভিডিওটি অারো কয়েক মাস অাগের ",2,1
এই রানা ত এফবিতে পুরাই ভাইরাল হয়ে গেসে,1,2
এত অপরিচন্ন পরিবেশের খাবার খাওয়া ঠিক না,0,2
বাংলা দেশ পুলিশ কে জুতা মারি✅,2,0
আমা‌দের এলাকা‌তে এটা‌কে ধাপরা ব‌লে কিন্তু এখা‌নে পাতলা বে‌শি,1,0
"ভিডিওর গুনোগতমান , ভালো করুন , সুন্দর শো ",1,2
বুজলাম বাট মরা মুরগি না তাজা খাসি বিরানী,0,2
এতো খাবেন না পেট ফেটে যাবে,0,2
ভাইয়া 3জি / 4 জি সেবা বন্ধ থাকার কারনে সমস্যা হয়ে গিছে,0,2
"একটা জিজ্ঞাস‍্য বিষয় ছিল , খাবারের পরিমাণ বেশ অনেক দেখছি , একটা থালি দুজনে শেয়ার করা যায় নাকি ",0,1
এত তরকারি কিভাবে খাবেন দাদা । আমি আলু ভরতা্ দিয়ে দুআড়াই প্লেট সাবার করত পারবো লগে কাচা মরিচ হলে চলবে,0,1
"যদিওবা বেশি ভিউর জন্য দিছেন কিন্তুু মনে হয়না টাইইটেল ট্যাগ কাজ করবে না , কারন আপনি ওত বড়ও সেলিব্রেটিও ছিলেন না ",2,1
আরো আরো আরো আরো আরো আরো ভিডিও চাই চাই । চাই,1,2
তার ওয়াইফ কিন্তু চরম বুদ্ধিমতী তানাহলে দরাতো পড়ে গেলে অল্পের জন্য বেঁচে,0,1
ভাই স্কাই লাউঞ্জ কিভাবে ব্যবহার করব,0,2
ত্রই সব প্রতারনা ব্যাবসা বন্ধ করেন,0,1
ভাই অখানে মোবাইল নেটওয়ার্কের সিগনাল কেমন পাইসেন ? কোন সিমে থ্রিজি কাজ করে,1,2
রাইট কথা এখন না হলেও এক সময় হবে ইনশাআল্লাহ,0,1
সাধ্যেরমধ্যে সব টুকু সুখের মত,1,2
ভাই মাইয়্যা গুলোরে দেখাইলেন আর বীরপুরুষ ৩ জন কে কেন দেখালেন না ! তুইও মজা লস ভাই,2,1
লিপু আর নতুন ভাবির জোড়া মাশাল্লাহ,1,2
লেবুচুর খাওয়া দেখে জিব্বায় পানি আসছে কার কার ? লাইক দিয়া জিব্বাহ দেখাও,1,0
দেশটারে বেইচা দিলো ! ভারতের কাছে,0,2
"রসের রশিক বাঙ্গালি শুধু মাত্র মিষ্টি খেয়েই নয় , খাইয়েও তৃপ্তি পায় ",1,0
ভাই আপনি কি ধারাভাষ্যকর দেন,0,2
স্পা ওস্পা সব ধংস করে দিবে সরকার । ইনশাআল্লাহ,0,1
আমার মতে ম্যাজিষ্টেটের চাদা বাজ হাতি পিছনে না দৌড়িয়ে চাদাবাজ নেতা খেতা দের পিছনে দৌড়ানো উচিত,2,0
"হাহাহাহা , না আপনার ভয়ের কোন কারণ নেই । সবগুলো আচার চাখার জন্যই তারা নতুন চামচ দিয়েছে ",0,1
আইন আছে । কিন্তু য়ারা আইনের কাজ করে তারা,0,2
আপনারা অনেক দেরিতে তার খোজ পেয়েছেন,0,1
পুলিশ আপিগুলা দেখতে অন্নেক সুন্দর,0,1
"সালমা নির্বাচনে হারার পর থেকেই পুলিশের বিরুদ্ধে একের পর এক সরযন্ত , হাহাহাহা ",2,1
পাপনকে পাপর বানিয়ে কুত্তাকে খাওয়ানো হওক,2,1
কোথায় স্পষ্টতা ছিল না ভাইয়া,0,2
